,datadate,tic,adjcp,open,high,low,volume,neutral,positive,negative,macd,rsi,cci,adx,turbulence
577,20160827,ETH,11.14820004,11.29399967,11.29399967,11.13949966,15108400,76.73716146312654,5.246716716635556,0.016122077751123953,-0.13419702021660918,48.14827159743416,-6.891442920449184,10.037676309538538,0.6864314330677841
578,20160828,BTC,573.9119873,569.8300171,574.0380249,569.7399902000002,86301600,87.7868680357933,0.21239147559815308,0.0007406992823391079,-9.31242628145867,44.95767193411393,-66.88158121875615,33.19885065406835,0.7293365616337906
579,20160828,ETH,10.92930031,11.14700031,11.14700031,10.92000008,5303040,87.7868680357933,0.21239147559815308,0.0007406992823391079,-0.14405660912901652,47.345281809379024,-29.94428660384045,14.942438476214884,0.7293365616337906
580,20160829,BTC,574.1069946,574.0709839,576.2780151000002,573.4650268999999,110398000,86.9716496411711,1.0247894327726854,0.003561556645237829,-8.972049608707835,44.99956492130179,-52.88016114564159,29.32398697453286,0.7291226037836364
581,20160829,ETH,10.98379993,10.915100099999998,11.14620018,10.78979969,8130540,86.9716496411711,1.0247894327726854,0.003561556645237829,-0.14579213948411507,47.570486098104716,-28.610913196283136,17.784625266887204,0.7291226037836364
582,20160830,BTC,577.5029907,574.1140137,578.3569946,574.1140137,70342400,90.00198450684547,0.9860709117164964,0.01194478089328399,-8.332221477007806,45.74350142290566,-31.453823225474196,25.696166656815674,0.7845249330305788
583,20160830,ETH,11.22889996,10.99209976,11.30360031,10.95880032,7221260,90.00198450684547,0.9860709117164964,0.01194478089328399,-0.12593829746362317,48.59338224343284,11.655968206618844,12.909059961803681,0.7845249330305788
584,20160831,BTC,575.4719848999998,577.5910034,577.8610229,573.6420287999998,75840896,92.94357658550145,3.0501563315287745,0.006266190619617973,-7.897995095997885,45.3638830677773,-34.397081469195285,26.1985935936146,0.7889705708278937
585,20160831,ETH,11.67240047,11.23859978,11.68019962,11.18389988,11073700,92.94357658550145,3.0501563315287745,0.006266190619617973,-0.07356914070113163,50.40460183848241,76.67718584954854,2.0997227532647984,0.7889705708278937
586,20160901,BTC,572.3029785,575.5460205,576.3109741000002,571.8140258999998,76923400,88.30225652456284,0.6947021761412526,0.0030414167122039264,-7.720581831113236,44.76425170874724,-62.75428916574871,28.20837107012652,0.7988055133484269
587,20160901,ETH,11.99489975,11.6704998,12.58150005,11.64850044,24051500,88.30225652456284,0.6947021761412526,0.0030414167122039264,-0.005974341523865334,51.68513471406634,176.68380504724814,17.986912363125445,0.7988055133484269
588,20160902,BTC,575.5369873,572.4099731000001,575.6430054,570.8109741000002,79910800,91.54261201620102,1.8952973368666133,0.5620907166150264,-7.235615387931716,45.524433060262595,-66.19385227283446,29.33708801362919,0.8476450317218047
589,20160902,ETH,12.11299992,11.96420002,12.31330013,11.88239956,9368300,91.54261201620102,1.8952973368666133,0.5620907166150264,0.05647372656556371,52.15313686832792,163.81963221144628,17.986912363125427,0.8476450317218047
590,20160903,BTC,598.2119751,575.5549927000002,599.5,574.0560303,159014000,93.11741942167282,0.8008213429656446,0.08175932422429,-4.96436783308377,50.46874044910453,112.7602118355552,7.598579448265738,1.1370461349038414
591,20160903,ETH,11.75870037,12.11289978,12.36359978,11.34720039,13358800,93.11741942167282,0.8008213429656446,0.08175932422429,0.07649348844441661,50.63109113890104,98.29513075717527,4.091508469365388,1.1370461349038414
592,20160904,BTC,608.6339722,598.5900268999999,611.8369751,596.8480225,97942896,95.94159597158432,1.0567867286412644,0.0016174940858348918,-2.296941999229375,52.51783211230185,239.16786457029892,20.1965650991961,1.348531752557231
593,20160904,ETH,11.67990017,11.75409985,11.79360008,11.47389984,7220550,95.94159597158432,1.0567867286412644,0.0016174940858348918,0.0850207105616132,50.29338565425182,59.70480955286969,4.091508469365394,1.348531752557231
594,20160905,BTC,606.5900268999999,608.9899902000002,609.0549927000002,602.2420043999998,82446800,94.23994901031256,2.6948801950168395,0.06517059590542118,-0.3439522444946306,52.08071228354835,205.1744991503745,20.196565099196103,1.2910006565397831
