,0
219,1717087.9264813338
220,1658798.237170175
221,1503191.4806429897
222,1346964.0411579176
223,1408942.259926338
224,1501281.1566084586
225,1500879.3674114773
226,1420251.2690919098
227,1478693.125387189
228,1460028.792106585
229,1443988.110698665
230,1519436.698026766
231,1526111.6183164506
232,1587933.2128215951
233,1486337.8719010695
234,1542727.531423583
235,1513323.6546122718
236,1528446.2778698187
237,1445503.9803360144
238,1504065.9734354115
239,1468959.4805198961
240,1465350.1689609797
241,1461513.1326472943
242,1499617.6327577184
243,1476872.705172199
244,1485015.9949387
245,1496694.1110262517
246,1491081.8138475262
247,1533246.5314582523
248,1518915.7125882378
249,1518369.8067769404
250,1502175.6110995573
251,1500657.5384790583
252,1468190.2559201282
253,1479327.00953896
254,1492250.176089281
255,1476043.8809695318
256,1470823.2660787029
257,1476617.9964646369
258,1478159.1628568163
259,1482575.245104207
260,1478186.2952654508
261,1409664.8531656966
262,1368124.427900876
263,1235425.3191177468
264,1278050.8963106142
265,1304980.2654413457
266,1297655.6620995882
267,1326392.4240022318
268,1337476.426549836
269,1333784.7890903812
270,1326444.347227648
271,1336151.904903825
272,1329420.6300684062
273,1325898.2592143237
274,1321450.6375727633
275,1287343.3446072827
276,1280047.9392934935
277,1303062.277641214
278,1293532.9386405635
279,1296019.6017780344
280,1298980.1837455991
281,1312670.5341768307
282,1311792.6615301496
283,1324079.4349069712
284,1316547.1391148511
285,1309251.871674495
286,1303788.7880484844
287,1308053.6459298981
288,1286156.4122990412
289,1295103.4409341447
290,1295543.479003869
291,1303206.615556371
292,1298623.60829546
293,1291472.678770261
294,1298770.2875768177
295,1349936.873968868
296,1373454.3294003038
297,1368842.1238857727
298,1377520.584549292
299,1386790.4455219451
300,1413354.1492589505
301,1405557.9682276475
302,1407020.0794370798
303,1369133.1410822868
304,1372572.0495424361
305,1374824.1631164732
306,1378080.3075908243
307,1370117.0636725677
308,1369706.3615042458
309,1367474.631310152
310,1376252.5309876653
311,1374792.4858488708
312,1372727.818767382
313,1347538.218535603
314,1345617.8893692708
315,1360384.5773061756
316,1359894.9573772356
317,1355835.4508056347
318,1372120.8554584864
319,1367885.3334784743
320,1364640.4826661306
321,1366817.9484942595
322,1375938.7888193547
323,1385524.4580309573
324,1378549.6815619497
325,1381349.9492199498
326,1376997.0838599817
327,1382202.893176415
328,1383353.7410058675
329,1392605.4220913453
330,1397089.1282116952
331,1391772.8617404755
332,1396831.991775551
333,1446651.4691975755
334,1435639.635607549
335,1436979.9957745357
336,1445085.3741151807
337,1441177.0919095573
338,1447912.7739561622
339,1442411.4023585955
340,1439629.1769399908
341,1422840.654977773
342,1423601.046371065
343,1428048.6680126253
344,1483256.7187368814
345,1482753.4640053858
346,1475284.3848750377
347,1483920.1503558138
348,1530666.2472892862
349,1553251.7033558562
350,1556270.9571262253
351,1612295.8673281583
352,1583829.8768898672
353,1581816.9951603604
354,1646852.288532603
355,1671755.1409056203
356,1554125.0309179188
357,1586923.5033362326
358,1587336.5468707564
359,1605623.2642955435
360,1586688.8161250178
361,1601845.9604980836
362,1632139.7275395335
363,1614676.4805220289
364,1616655.4812655135
365,1591028.1843302113
366,1584206.6982978196
367,1590953.674006432
368,1605842.250407913
369,1679357.4019368996
370,1672089.1290317446
371,1696026.3768007425
372,1696096.3420399013
373,1649634.5139512075
374,1668187.5954035076
375,1695489.2410832238
376,1680250.9754567742
377,1670536.669203209
378,1673605.504607142
379,1659463.9600919604
380,1651911.2806942454
381,1660436.451372452
382,1659964.8736829075
383,1682726.3449322374
384,1707735.384896637
385,1755505.8961103663
386,1740186.5094561826
387,1746317.4319123123
388,1712081.501679218
389,1724546.4939572173
390,1733365.0231981396
391,1739407.938175715
392,1743884.895493025
393,1748073.039332241
394,1736973.198263661
395,1760341.6328218863
396,1761400.0657359466
397,1763487.3201414505
398,1755830.9321663359
399,1771218.0805669103
400,1784581.1914494054
401,1783906.6040418993
402,1788834.7556688117
403,1807252.4515017627
404,1882631.6019861312
405,1950911.6082972821
406,2080535.2707468737
407,2028269.7597507876
408,2022314.714829636
