Date,Symbol,Open,High,Low,Close,Volume,Market Cap,1Dreturn,Norm_Close,label,,prob_sell,prob_hold,prob_buy,pred
1/27/16,ETH,2.2474401,2.594939947,2.188649893,2.388550043,6961080,182923579.8,0.057750488,2.945147403,2,,0.224,0.4596,0.3165,1
1/28/16,ETH,2.406450033,2.684669971,2.342030048,2.526489973,4903850,193551355.7,-0.012479726,2.915613338,1,,0.2252,0.4409,0.334,1
1/29/16,ETH,2.542979956,2.606770039,2.303900003,2.49496007,6662340,191198054.8,-0.020000342,2.589282015,0,,0.225,0.4303,0.3447,1
1/30/16,ETH,2.507719994,2.611809969,2.398920059,2.445060015,3725080,187435391.2,-0.056857486,2.297711676,0,,0.2281,0.4047,0.3672,1
1/31/16,ETH,2.443150043,2.530970097,2.186350107,2.306040049,5847500,176834423.9,-0.040914337,1.909180985,0,,0.2278,0.3938,0.3784,1
2/1/16,ETH,2.319689989,2.319689989,2.116309881,2.211689949,3994100,169654870.5,0.103066027,1.646152497,2,,0.2303,0.3695,0.4002,2
2/2/16,ETH,2.215189934,2.448980093,2.157200098,2.439640045,3451270,187200921.7,0.036501309,1.930958083,2,,0.2295,0.3603,0.4102,2
2/3/16,ETH,2.431930065,2.540169954,2.341619968,2.5286901,3987750,194099729.6,0.019515948,1.956122255,1,,0.2312,0.3463,0.4225,2
2/4/16,ETH,2.529030085,2.629539967,2.436460018,2.578039885,3552320,197953036.7,-0.015147114,1.915552286,1,,0.2319,0.3396,0.4286,2
2/5/16,ETH,2.570349932,2.606179953,2.470920086,2.538990021,2636700,195018591.8,-0.001784155,1.752194088,1,,0.2367,0.3246,0.4387,2
2/6/16,ETH,2.533819914,2.561150074,2.472009897,2.534460068,1921240,194733892.1,0.169613998,1.656041574,2,,0.2394,0.3155,0.4451,2
2/7/16,ETH,2.536410093,3.058190107,2.536380053,2.964339972,7007060,227838892.3,0.072680614,2.154915592,2,,0.2451,0.3032,0.4518,2
2/8/16,ETH,2.97300005,3.274280071,2.875370026,3.17979002,9725690,244479014.3,0.271983382,2.286990855,2,,0.2492,0.2959,0.4548,2
2/9/16,ETH,3.174989939,4.044640064,3.168750048,4.044640064,17954000,311075408.1,0.096824477,3.076265142,2,,0.2562,0.2874,0.4564,2
2/10/16,ETH,4.000549793,4.861440182,3.78309989,4.436260223,28640400,341305129.3,0.355443514,3.132034201,2,,0.2617,0.2825,0.4558,2
2/11/16,ETH,4.496819973,6.292230129,4.338300228,6.013100147,26408200,462770854.8,-0.077517459,3.971177232,0,,0.2701,0.279,0.4508,2
2/12/16,ETH,5.946149826,6.582749844,5.070759773,5.546979904,23360800,427037697.2,-0.029143736,3.104926714,0,,0.2765,0.2775,0.446,2
2/13/16,ETH,5.685050011,5.719540119,4.190000057,5.385320187,24218800,414729231.3,-0.027034661,2.686059635,0,,0.2851,0.2763,0.4385,2
2/14/16,ETH,5.404329777,5.465060234,4.445710182,5.239729881,11226500,403647764.3,0.009279147,2.370698227,1,,0.2912,0.2756,0.4331,2
2/15/16,ETH,5.330530167,5.88699007,5.018559933,5.288350105,13934200,407524960.3,-0.184000702,2.234255741,0,,0.3025,0.272,0.4255,2
2/16/16,ETH,5.328320026,5.474860191,4.033840179,4.315289974,15889100,332648533.4,-0.129319216,1.473967834,0,,0.3134,0.2656,0.421,2
2/17/16,ETH,4.289169788,4.767069817,3.497370005,3.757240057,15451000,289721943,0.170840777,1.041295515,2,,0.3316,0.2537,0.4146,2
2/18/16,ETH,3.774699926,4.770569801,3.420880079,4.399129868,17054000,339328346.5,0.077006115,1.422725918,2,,0.35,0.2401,0.4099,2
2/19/16,ETH,4.384789944,4.793220043,4.274690151,4.737889767,7666320,365577845.3,-0.08369965,1.576902372,0,,0.3661,0.2326,0.4012,2
2/20/16,ETH,4.682199955,4.754059792,4.12706995,4.341330051,8631090,335088727.4,0.07193411,1.254376851,2,,0.3727,0.23,0.3973,2
2/21/16,ETH,4.360549927,4.711510181,4.227610111,4.653619766,6413550,359310563.1,0.206909929,1.401064046,2,,0.3906,0.2204,0.389,0
2/22/16,ETH,4.664949894,5.645709991,4.635250092,5.616499901,15056200,433798973.6,-0.005393061,1.92533071,1,,0.3897,0.2237,0.3866,0
2/23/16,ETH,5.684929848,5.947639942,5.387819767,5.586209774,13380600,431598156.7,0.116404588,1.80467586,2,,0.4057,0.2148,0.3796,0
2/24/16,ETH,5.604050159,6.236470222,5.509250164,6.236470222,11426500,481995066.5,-0.021112904,2.078550322,0,,0.4118,0.2114,0.3768,0
2/25/16,ETH,6.186709881,6.647409916,5.551239967,6.104800224,21471800,471975063.7,-0.029997749,1.888152051,0,,0.4283,0.2005,0.3712,0
2/26/16,ETH,6.037829876,6.268750191,5.739049911,5.92166996,9526860,457966534.8,0.085143206,1.692566208,2,,0.4344,0.1959,0.3697,0
2/27/16,ETH,5.963079929,6.526919842,5.920519829,6.425859928,8903210,497119697.8,0.006612345,1.881900413,1,,0.4405,0.192,0.3675,0
2/28/16,ETH,6.405509949,6.619339943,6.238369942,6.468349934,9851660,500569665.2,-0.020308124,1.808893588,0,,0.4429,0.1894,0.3677,0
2/29/16,ETH,6.455649853,6.614510059,6.054289818,6.33698988,7648020,490556569.9,0.207780035,1.654452234,2,,0.4475,0.1858,0.3667,0
3/1/16,ETH,6.319310188,7.908639908,6.308849812,7.653689861,23098100,592677992.7,0.106053467,2.230934574,2,,0.4435,0.1872,0.3693,0
3/2/16,ETH,7.633029938,8.75345993,7.37130022,8.465390205,29130200,655748795.7,0.097899816,2.461305461,2,,0.4452,0.1853,0.3695,0
3/3/16,ETH,8.442290306,10.09739971,8.332030296,9.294150352,40314900,720179291,0.119628986,2.636707846,2,,0.4407,0.1869,0.3724,0
3/4/16,ETH,9.240559578,10.40600014,8.479419708,10.40600014,35520100,806593727.4,0.057438027,2.856488837,2,,0.4418,0.1856,0.3727,0
3/5/16,ETH,10.37030029,12.27400017,9.972900391,11.00370026,56439600,853205226.2,0.034461133,2.818787774,2,,0.4376,0.1871,0.3753,0
3/6/16,ETH,11.20400047,11.83600044,9.993610382,11.38290024,39112000,882886756.1,-0.160791167,2.7051442,0,,0.4381,0.1867,0.3752,0
3/7/16,ETH,11.42879963,11.65190029,9.309490204,9.552630424,34085100,741166643.2,0.030837528,1.887676044,2,,0.4341,0.1884,0.3775,0
3/8/16,ETH,9.582139969,10.16639996,8.815770149,9.84720993,25524300,764269545.2,0.208261005,1.889860293,2,,0.4338,0.1893,0.3769,0
3/9/16,ETH,9.792420387,12.0546999,9.67098999,11.89799976,27540500,923733301.1,-0.049840265,2.443711093,0,,0.4301,0.1908,0.3791,0
3/10/16,ETH,11.88150024,12.23929977,10.99110031,11.30500031,26851500,877988473.3,-0.019655054,2.096750132,0,,0.4293,0.1926,0.3781,0
3/11/16,ETH,11.22159958,11.59990025,10.39369965,11.08279991,21002700,861012042.6,0.22110843,1.910354714,2,,0.4262,0.1934,0.3804,0
3/12/16,ETH,11.13070011,13.5333004,11.08769989,13.5333004,48957300,1051728778,0.069583912,2.506946223,2,,0.4247,0.1954,0.3798,0
3/13/16,ETH,13.51019955,15.25710011,13.4673996,14.47500038,43915100,1125287882,-0.139716808,2.565383274,0,,0.421,0.1965,0.3825,0
3/14/16,ETH,14.51220036,15.01299953,11.58209991,12.45259953,58385100,968384041.3,0.044761795,1.858395028,2,,0.4184,0.1987,0.3829,0
3/15/16,ETH,13.0017004,13.19779968,12.04679966,13.01000023,28404500,1012119266,-0.037594193,1.904014083,0,,0.4153,0.1996,0.3852,0
3/16/16,ETH,13.02159977,13.73069954,12.49540043,12.52089977,24335500,974447124.7,-0.114959767,1.679819883,0,,0.4117,0.2016,0.3867,0
3/17/16,ETH,12.55869961,12.64350033,10.44260025,11.08150005,41650600,865792702.5,-0.007526036,1.230845677,1,,0.412,0.201,0.3871,0
3/18/16,ETH,11.10910034,11.17879963,8.52451992,10.99810028,53956800,859618881.2,-0.042498299,1.160222167,0,,0.4088,0.2025,0.3887,0
3/19/16,ETH,11.20370007,11.20370007,9.776630402,10.53069973,26735700,823422649.6,-0.020027098,0.991718048,0,,0.4116,0.2012,0.3873,0
3/20/16,ETH,10.5163002,10.90380001,9.570400238,10.31980038,17651100,807256577,0.149644375,0.896975239,2,,0.4115,0.2011,0.3874,0
3/21/16,ETH,10.30370045,12.01490021,10.16160011,11.86410046,28572600,928428770,-0.049670867,1.275934831,0,,0.4168,0.1985,0.3847,0
3/22/16,ETH,11.87919998,12.02519989,11.17700005,11.2748003,19730300,883434496.8,0.101278961,1.070852241,2,,0.4222,0.1949,0.3829,0
3/23/16,ETH,11.32789993,12.43260002,11.23709965,12.41670036,19353200,973296474.8,-0.095170268,1.339273004,0,,0.4272,0.1927,0.3801,0
3/24/16,ETH,12.44219971,12.50160027,10.80350018,11.23499966,26081800,881027910.3,-0.043773865,0.968736279,0,,0.4344,0.1881,0.3775,0
3/25/16,ETH,11.26029968,11.37290001,10.52719975,10.7432003,13782000,842804288.8,0.021483326,0.795350503,2,,0.4413,0.1856,0.3731,0
3/26/16,ETH,10.76790047,11.18080044,10.58920002,10.97399998,9425480,861261382.6,-0.050555862,0.829713679,0,,0.4515,0.1793,0.3692,0
3/27/16,ETH,10.9861002,11.05420017,10.11209965,10.41919994,16744800,818048966.6,0.119625296,0.634541474,2,,0.4635,0.1745,0.3619,0
3/28/16,ETH,10.4314003,11.86130047,10.40750027,11.66559982,23188300,916272915.5,-0.000788652,0.978996901,1,,0.4712,0.1698,0.3589,0
3/29/16,ETH,11.75269985,11.91359997,11.34980011,11.65639973,17684200,915917612.4,0.025436688,0.942178344,2,,0.4834,0.1653,0.3513,0
3/30/16,ETH,11.60529995,12.17850018,11.46920013,11.95289993,19351200,939593767.1,-0.045963769,0.998254605,0,,0.4861,0.1634,0.3505,0
3/31/16,ETH,11.9197998,12.01189995,11.31569958,11.4034996,14966700,896764774.2,0.02280882,0.789069516,2,,0.4981,0.1592,0.3427,0
4/1/16,ETH,11.40060043,11.85039997,11.40060043,11.66359997,11373100,917590806.5,-0.005547183,0.83886467,1,,0.496,0.16,0.3439,0
4/2/16,ETH,11.63059998,11.68879986,11.3987999,11.59889984,8682620,912861403.6,0.001672624,0.784299603,1,,0.5069,0.1568,0.3363,0
4/3/16,ETH,11.62829971,11.70639992,11.50870037,11.61830044,5580550,914757198.6,-0.039678819,0.757790261,0,,0.5039,0.1592,0.3369,0
4/4/16,ETH,11.6157999,11.6157999,11.0163002,11.1573,9599070,878817014.8,-0.064460052,0.574756737,0,,0.5168,0.1554,0.3278,0
4/5/16,ETH,11.21249962,11.21249962,10.13469982,10.43809986,20557300,822498173.2,0.023692066,0.303504352,2,,0.5171,0.1574,0.3255,0
4/6/16,ETH,10.44979954,10.97000027,10.27729988,10.68540001,16997100,842318789.2,-0.057620657,0.356578602,0,,0.5324,0.1523,0.3153,0
4/7/16,ETH,10.69519997,10.80970001,9.953630447,10.06970024,13464500,794097554,-0.034768667,0.097161259,0,,0.5465,0.1475,0.306,0
4/8/16,ETH,10.07740021,10.38749981,9.655579567,9.719590187,14660600,766797893.1,-0.058538448,-0.076687515,0,,0.5616,0.1419,0.2965,0
4/9/16,ETH,9.69423008,10.08889961,9.06814003,9.150620461,16194800,722193576.1,-0.023417005,-0.348039007,0,,0.5711,0.1395,0.2895,0
4/10/16,ETH,9.149849892,9.224720001,7.455639839,8.936340332,42613400,705565729.9,-0.032737125,-0.500224305,0,,0.5803,0.1352,0.2845,0
4/11/16,ETH,8.942779541,8.946640015,8.00317955,8.643790245,15138100,682735835.1,-0.138999253,-0.698764427,0,,0.5852,0.1344,0.2804,0
4/12/16,ETH,8.6394701,8.6394701,7.154160023,7.442309856,23190100,588069233.9,0.080903698,-1.300861762,2,,0.5823,0.1368,0.2808,0
4/13/16,ETH,7.441359997,8.719770432,7.069220066,8.044420242,31403300,635899506.8,0.042615895,-1.083002446,2,,0.5823,0.1386,0.2791,0
4/14/16,ETH,8.075169563,8.757040024,8.021519661,8.38724041,13590700,663262433.6,-0.017223863,-0.967138833,0,,0.5734,0.1442,0.2823,0
4/15/16,ETH,8.386059761,8.616200447,8.097330093,8.242779732,12179000,652099781.1,0.04448987,-1.100791196,2,,0.5678,0.149,0.2832,0
4/16/16,ETH,8.235879898,8.649760246,8.114439964,8.609499931,9888460,681383665.9,0.0812591,-0.98413325,2,,0.5571,0.1563,0.2866,0
4/17/16,ETH,8.623189926,9.701999664,8.560779572,9.309100151,24619600,737045140.4,-0.029336874,-0.662379158,0,,0.5469,0.1644,0.2887,0
4/18/16,ETH,9.332730293,9.506660461,8.496870041,9.036000252,21084100,715710192.6,-0.035537877,-0.892790093,0,,0.5344,0.1742,0.2914,0
4/19/16,ETH,9.075329781,9.306240082,8.595459938,8.71487999,12899100,690548723.5,-0.028582172,-1.181094599,0,,0.5195,0.1863,0.2942,0
4/20/16,ETH,8.68819046,8.825389862,8.313759804,8.465789795,15634700,671081004.2,-0.042951669,-1.374806495,0,,0.5025,0.2014,0.2961,0
4/21/16,ETH,8.45345974,8.721830368,7.962220192,8.102169991,13355400,642511136.7,-0.03467096,-1.595734717,0,,0.4809,0.2211,0.298,0
4/22/16,ETH,8.149920464,8.272319794,7.668479919,7.821259975,13309300,620481616,0.060543991,-1.715949577,2,,0.4624,0.2392,0.2984,0
4/23/16,ETH,7.791830063,8.552929878,7.73774004,8.294790268,14565200,658310821.8,-0.035376406,-1.363039781,0,,0.4346,0.2673,0.2981,0
4/24/16,ETH,8.293430328,8.473970413,7.95980978,8.001350403,10786400,635274078.4,-0.055866884,-1.4746207,0,,0.4173,0.2859,0.2968,0
4/25/16,ETH,8.007769585,8.094599724,7.2365098,7.554339886,18239900,600026226.3,-0.020822467,-1.655576123,0,,0.3862,0.3204,0.2935,0
4/26/16,ETH,7.526549816,7.551819801,7.058979988,7.39703989,17667300,587763649.6,0.049064261,-1.675807465,2,,0.3734,0.3349,0.2917,0
4/27/16,ETH,7.388390064,7.967740059,7.319690228,7.759970188,19254500,616849025.6,-0.075701324,-1.414113301,0,,0.3485,0.3658,0.2857,1
4/28/16,ETH,7.740690231,7.913070202,7.166399956,7.172530174,11576000,570380061.1,0.039701471,-1.656844265,2,,0.3364,0.3795,0.284,1
4/29/16,ETH,7.207029819,7.730959892,7.171889782,7.457290173,8762080,593261113.9,0.181928006,-1.431809176,2,,0.3172,0.4053,0.2774,1
4/30/16,ETH,7.453909874,9.366499901,7.453909874,8.813980103,36573300,701473016.6,0.003689626,-0.671582862,1,,0.3108,0.4126,0.2765,1
5/1/16,ETH,8.775079727,9.011779785,8.432359695,8.846500397,16713800,704335724.7,0.148838515,-0.624281956,2,,0.297,0.4335,0.2695,1
5/2/16,ETH,8.894240379,10.32149982,8.850720406,10.16320038,41019200,809492236.1,-0.083825034,0.171924263,0,,0.2939,0.437,0.2691,1
5/3/16,ETH,10.1651001,10.1651001,9.279800415,9.31126976,21463900,741932869.2,0.011008162,-0.309164686,1,,0.2856,0.4492,0.2652,1
5/4/16,ETH,9.38286972,10.03409958,9.267519951,9.413769722,17622400,750396087.2,0.043800798,-0.210432397,2,,0.2871,0.4454,0.2675,1
5/5/16,ETH,9.396730423,10.04599953,9.29211998,9.826100349,18296200,783576042.3,-0.048794608,0.091549647,0,,0.2817,0.4494,0.2689,1
5/6/16,ETH,9.809610367,9.952190399,9.037010193,9.346639633,21510600,745638475.9,0.002553909,-0.205240211,1,,0.287,0.4392,0.2738,1
5/7/16,ETH,9.315649986,9.475790024,9.212100029,9.370510101,10806500,747838842.4,0.011997221,-0.168869729,1,,0.2879,0.4344,0.2777,1
5/8/16,ETH,9.372900009,9.597499847,8.926859856,9.482930183,15031000,757112769.3,-0.019529801,-0.079204231,0,,0.2944,0.4225,0.283,1
5/9/16,ETH,9.494039536,9.641160011,9.203700066,9.297730446,13085300,742621898.7,0.006860746,-0.19117824,1,,0.2991,0.4124,0.2885,1
5/10/16,ETH,9.282649994,9.479020119,9.261360168,9.361519814,9321790,748013845.9,0.067805219,-0.116870476,2,,0.2993,0.4075,0.2931,1
5/11/16,ETH,9.431429863,10.01189995,9.389260292,9.996279716,15267500,799045672.8,0.006154347,0.347785484,1,,0.3019,0.4,0.298,1
5/12/16,ETH,9.995109558,10.50629997,9.856410027,10.05780029,24137700,804287196,0.044622092,0.443681911,2,,0.2985,0.4003,0.3012,1
5/13/16,ETH,10.06229973,11.05280018,10.01840019,10.50660038,31276900,840514936,-0.025403085,0.794874502,0,,0.2996,0.3956,0.3047,1
5/14/16,ETH,10.50510025,10.61499977,9.807920456,10.23970032,18808000,819487228,-0.027085795,0.60677667,0,,0.301,0.3931,0.3059,1
5/15/16,ETH,10.23859978,10.44449997,9.926420212,9.962349892,9218400,797607882.6,0.121351895,0.418753935,2,,0.302,0.3897,0.3083,1
5/16/16,ETH,9.968700409,11.44029999,9.968700409,11.17129993,29079900,894750992,0.091976776,1.310897054,2,,0.303,0.3889,0.308,1
5/17/16,ETH,11.19320011,12.48700047,11.15260029,12.19880009,37198700,977439936,0.111470008,2.043842883,2,,0.3021,0.3871,0.3107,1
5/18/16,ETH,12.17930031,14.25899982,12.17930031,13.55860043,65389900,1086834954,0.089323351,2.837959964,2,,0.3008,0.3888,0.3105,1
5/19/16,ETH,13.54279995,14.87279987,13.33759975,14.76970005,53757500,1184385765,-0.076785578,3.30380803,0,,0.2997,0.3893,0.3111,1
5/20/16,ETH,14.85319996,15.04819965,13.3842001,13.63560009,50544100,1093879433,0.027824243,2.432892509,2,,0.2995,0.3932,0.3074,1
5/21/16,ETH,13.68970013,14.05119991,13.11900043,14.01500034,24648400,1124761560,0.019343563,2.496389791,1,,0.3002,0.3961,0.3037,1
5/22/16,ETH,14.04049969,14.34640026,13.76580048,14.28610039,17938900,1146979484,-0.057720455,2.479291727,0,,0.2978,0.4049,0.2973,1
5/23/16,ETH,14.27980042,14.49240017,13.19219971,13.46150017,23842800,1081207347,-0.054169324,1.956215513,0,,0.2953,0.4144,0.2903,1
5/24/16,ETH,13.30539989,13.77429962,12.01410007,12.7322998,41560600,1023046506,-0.016202869,1.529715264,0,,0.2885,0.4303,0.2812,1
5/25/16,ETH,12.79319954,12.89840031,11.76659966,12.52600002,27444700,1006875564,-0.007632135,1.376516338,1,,0.2802,0.4485,0.2713,1
5/26/16,ETH,12.51609993,12.98659992,12.05920029,12.43039989,20764000,999589701.6,-0.091276202,1.290722615,0,,0.27,0.4668,0.2632,1
5/27/16,ETH,12.38939953,12.38939953,10.50269985,11.29580021,57496400,908715671,0.052860377,0.713386297,2,,0.2571,0.4895,0.2534,1
5/28/16,ETH,11.33320045,12.36330032,10.37339973,11.89290047,47274800,957134590.2,0.038468287,0.976169227,2,,0.247,0.5063,0.2467,1
5/29/16,ETH,12.11219978,12.69079971,11.77680016,12.35039997,28598400,994349367,0.030355281,1.153255696,2,,0.2339,0.5278,0.2384,1
5/30/16,ETH,12.32530022,12.88059998,12.26580048,12.72529984,14733800,1024940354,0.106245059,1.278164122,2,,0.2256,0.5391,0.2353,1
5/31/16,ETH,12.74349976,14.26729965,12.64220047,14.07730007,42433400,1134278934,-0.005384551,1.811042505,1,,0.2139,0.5556,0.2305,1
6/1/16,ETH,14.10980034,14.31550026,13.43889999,14.00150013,22471300,1128621280,-0.018819427,1.69126987,0,,0.2092,0.559,0.2317,1
6/2/16,ETH,13.99170017,14.04839993,13.62919998,13.73799992,10477200,1107823663,0.007912345,1.500159635,1,,0.2011,0.5677,0.2312,1
6/3/16,ETH,13.74289989,13.87380028,13.25430012,13.84669971,22981500,1117035879,-0.007676876,1.477758322,1,,0.201,0.5622,0.2368,1
6/4/16,ETH,13.86429977,13.94540024,13.42179966,13.74040031,15792400,1108902326,0.017073743,1.369301149,1,,0.1972,0.5629,0.2399,1
6/5/16,ETH,13.76249981,14.07219982,13.56779957,13.97500038,11088400,1128276672,-0.002926671,1.406331657,1,,0.2009,0.5491,0.25,1
6/6/16,ETH,14.0007,14.05850029,13.73490047,13.93410015,8720400,1125426017,0.041473789,1.328883523,2,,0.1995,0.542,0.2585,1
