Date,technical_indicator+sentiment_score,datadate,daily_return_ti+ss,Date
2019-04-25,1982035.8695466502,20190425,-0.1402393609447743,2019-04-25
2019-04-26,2195889.4074968845,20190426,0.10789589695929602,2019-04-26
2019-04-27,2124909.3040736886,20190427,-0.03232407933699488,2019-04-27
2019-04-28,1945176.0826112116,20190428,-0.08458394959159354,2019-04-28
2019-04-29,1912405.7302696528,20190429,-0.0168469850285059,2019-04-29
2019-04-30,1940727.322816155,20190430,0.014809405817095556,2019-04-30
2019-05-01,2084549.7293015118,20190501,0.07410747753922409,2019-05-01
2019-05-02,1997101.955213792,20190502,-0.04195043795718023,2019-05-02
2019-05-03,1973559.1756052102,20190503,-0.011788471563566882,2019-05-03
2019-05-04,1994513.9287316487,20190504,0.010617747562604807,2019-05-04
2019-05-05,2018517.395352351,20190505,0.012034745044857464,2019-05-05
2019-05-06,2080220.1839174929,20190506,0.030568370977239523,2019-05-06
2019-05-07,2097005.3776392185,20190507,0.008068950513745898,2019-05-07
2019-05-08,2070945.756396567,20190508,-0.012427064575289304,2019-05-08
2019-05-09,2032325.1062464255,20190509,-0.01864879851674195,2019-05-09
2019-05-10,2048540.45148433,20190510,0.007978716194601887,2019-05-10
2019-05-11,2037640.2879160247,20190511,-0.0053209413367489855,2019-05-11
2019-05-12,2014501.3183811156,20190512,-0.011355767586718746,2019-05-12
2019-05-13,2016189.132276255,20190513,0.0008378321124633548,2019-05-13
2019-05-14,2008697.931077724,20190514,-0.0037155250361227132,2019-05-14
2019-05-15,2011574.8009496,20190515,0.001432206320007623,2019-05-15
2019-05-16,2014952.751133281,20190516,0.0016792565616183808,2019-05-16
2019-05-17,2013770.8641576243,20190517,-0.0005865581587419788,2019-05-17
2019-05-18,2015604.4786103887,20190518,0.000910537780340448,2019-05-18
2019-05-19,2014744.754322585,20190519,-0.000426534221831254,2019-05-19
2019-05-20,2012678.066836313,20190520,-0.0010257812965328572,2019-05-20
2019-05-21,2011482.9394781918,20190521,-0.000593799563782138,2019-05-21
2019-05-22,2012503.9869389818,20190522,0.0005076093069200649,2019-05-22
2019-05-23,2013136.9161604715,20190523,0.00031449836899577477,2019-05-23
2019-05-24,2013137.7028208624,20190524,3.907634817945649e-07,2019-05-24
2019-05-25,2009872.860890484,20190525,-0.0016217678134007318,2019-05-25
2019-05-26,2010841.6578338563,20190526,0.0004820190183290052,2019-05-26
2019-05-27,2010859.6750317626,20190527,8.96002817341035e-06,2019-05-27
2019-05-28,2010666.0072636781,20190528,-9.631093133410928e-05,2019-05-28
2019-05-29,2012834.7326300764,20190529,0.0010786104497533255,2019-05-29
2019-05-30,2012615.2308548032,20190530,-0.00010905106699266032,2019-05-30
2019-05-31,2012629.9030963238,20190531,7.290137377324868e-06,2019-05-31
2019-06-01,2013814.5838321587,20190601,0.0005886232406724368,2019-06-01
2019-06-02,2013860.2499822453,20190602,2.267644223707954e-05,2019-06-02
2019-06-03,2016824.7520726644,20190603,0.0014720495577811299,2019-06-03
2019-06-04,2014798.6922036563,20190604,-0.0010045790378792052,2019-06-04
