Date,Symbol,Open,High,Low,Close,Volume,Market Cap,1Dreturn,Norm_Close,label,,prob_sell,prob_hold,prob_buy,pred
9/27/13,BTC,128.9400024,134.7400055,128.4900055,133.7799988,0,1573520360,0.007474959,1.077496567,1,,0.3459,0.3412,0.3129,0
9/28/13,BTC,133.7700043,135.6300049,132.5599976,134.7799988,0,1585878762,0.018993898,1.163406136,2,,0.3448,0.3429,0.3124,0
9/29/13,BTC,134.8999939,140.6100006,134.7100067,137.3399963,0,1616584505,-0.031600382,1.431681673,0,,0.3427,0.3445,0.3128,1
9/30/13,BTC,137.1499939,138.3500061,130.2700043,133,0,1566038425,-0.006165469,0.905691048,0,,0.3415,0.3457,0.3128,1
10/1/13,BTC,132.6799927,134.6300049,131.5500031,132.1799927,0,1557001092,-0.136556184,0.78312733,0,,0.3389,0.3471,0.314,1
10/2/13,BTC,132.0500031,133.5899963,102.25,114.1299973,0,1344930746,0.083238414,-1.615000964,2,,0.3392,0.3467,0.314,1
10/3/13,BTC,114.4499969,123.6299973,111.8199997,123.6299973,0,1457492615,0.043516924,-0.391664892,2,,0.3371,0.3485,0.3144,1
10/4/13,BTC,123.4100037,130.0899963,123.4100037,129.0099945,0,1521498787,-0.003565549,0.314985443,1,,0.3388,0.3472,0.314,1
10/5/13,BTC,128.6300049,130.4400024,128.0299988,128.5500031,0,1516777519,0.00350056,0.20586256,1,,0.3377,0.3481,0.3142,1
10/6/13,BTC,128.3600006,129.6600037,126.1500015,129,0,1522686975,-0.015968973,0.239710421,0,,0.3398,0.347,0.3132,1
10/7/13,BTC,129.4299927,130.2700043,126.3600006,126.9400024,0,1498859918,-0.007405092,-0.15456628,0,,0.3395,0.3473,0.3132,1
10/8/13,BTC,126.7399979,127.4700012,124.7099991,126,0,1488277350,0.037222242,-0.352705327,2,,0.3413,0.3469,0.3118,1
10/9/13,BTC,125.8499985,131.75,125.5800018,130.6900024,0,1544249376,-0.000765216,0.463224969,1,,0.3412,0.3469,0.3119,1
10/10/13,BTC,130.6699982,131.5,129.2599945,130.5899963,0,1543701125,0.002373823,0.421069777,1,,0.3424,0.3473,0.3104,1
10/11/13,BTC,130.75,131.8099976,129.6399994,130.8999939,0,1547971040,0.032773176,0.449364348,2,,0.3423,0.3469,0.3108,1
10/12/13,BTC,130.8999939,135.6600037,130.5599976,135.1900024,0,1599426131,0.021747188,1.213579581,2,,0.3425,0.3468,0.3107,1
10/13/13,BTC,135.1900024,138.6600037,134.5500031,138.1300049,0,1634968839,0.017302536,1.703249481,2,,0.3419,0.3452,0.3128,1
10/14/13,BTC,139.2700043,144.1199951,138.8999939,140.5200043,0,1664129178,0.033589532,2.035038846,2,,0.3402,0.3451,0.3147,1
10/15/13,BTC,140.7700043,145.3899994,139.1300049,145.2400055,0,1720981439,-0.018521085,2.685652207,0,,0.338,0.3421,0.3199,1
10/16/13,BTC,145.6499939,152.2299957,142.4299927,142.5500031,0,1689851848,0.025955783,2.06384064,2,,0.3341,0.3418,0.3241,1
10/17/13,BTC,142.4100037,147.4199982,142.4100037,146.25,0,1734327563,0.066393208,2.482911313,2,,0.3306,0.3367,0.3327,1
10/18/13,BTC,146.3699951,155.9600067,145.5700073,155.9600067,0,1850219763,0.105539823,3.476609476,2,,0.3255,0.3334,0.3411,2
10/19/13,BTC,155.9100037,177.4799957,155.6999969,172.4199982,0,2046457291,0.012701557,4.407738925,2,,0.32,0.327,0.353,2
10/20/13,BTC,171.6600037,174.9100037,168.9499969,174.6100006,0,2073319140,0.043525606,3.813566083,2,,0.3142,0.3205,0.3653,2
10/21/13,BTC,174.8000031,184.8200073,174.8000031,182.2100067,0,2164518143,0.063388329,3.739504343,2,,0.3099,0.311,0.3791,2
10/22/13,BTC,182.6499939,196.2700043,182.6499939,193.7599945,0,2302910260,0.102497942,3.801058084,2,,0.3043,0.3018,0.3939,2
10/23/13,BTC,193.3600006,213.6199951,192.3800049,213.6199951,0,2540139399,-0.072043815,4.049054598,0,,0.3011,0.292,0.407,2
10/24/13,BTC,214.3000031,217.4199982,168.5200043,198.2299957,0,2358198593,-0.058215172,2.885056126,0,,0.2969,0.2823,0.4207,2
10/25/13,BTC,197.6900024,198.8699951,168.5,186.6900024,0,2222012384,-0.050190128,2.166717452,0,,0.2952,0.274,0.4308,2
10/26/13,BTC,187.4499969,188.4100037,175.75,177.3200073,0,2111296044,0.107827624,1.65127976,2,,0.2924,0.2663,0.4413,2
10/27/13,BTC,176.6000061,196.4400024,176.6000061,196.4400024,0,2339831217,0.010741196,2.315496608,2,,0.292,0.2598,0.4482,2
10/28/13,BTC,196.2100067,198.6199951,192.0599976,198.5500031,0,2365837416,0.029413227,2.232300689,2,,0.2907,0.2536,0.4558,2
10/29/13,BTC,198.5500031,204.7899933,198.5500031,204.3899994,0,2436241934,-0.021625315,2.282413179,0,,0.2917,0.2486,0.4597,2
10/30/13,BTC,204.3899994,209.1600037,199.9700012,199.9700012,0,2384492273,0.020153017,1.980999145,2,,0.2926,0.2439,0.4634,2
10/31/13,BTC,199.8300018,205.1799927,198.8500061,204,0,2433658800,0.010686239,1.994871104,1,,0.2952,0.2414,0.4633,2
11/1/13,BTC,203.8999939,206.6499939,202.1300049,206.1799927,0,2460742837,0.000194047,1.94475578,1,,0.2971,0.2385,0.4644,2
11/2/13,BTC,205.8099976,207.7599945,201.6499939,206.2200012,0,2462261645,0.042818358,1.834311615,2,,0.3009,0.238,0.4611,2
11/3/13,BTC,205.9900055,215.0500031,203.9900055,215.0500031,0,2568713111,0.065333657,1.992570744,2,,0.3038,0.2362,0.46,2
11/4/13,BTC,214.6600037,231.0099945,213.9400024,229.1000061,0,2737659088,0.070449581,2.258734944,2,,0.3085,0.2364,0.4551,2
11/5/13,BTC,229.2100067,250.6600037,226.2200012,245.2400055,0,2931598960,0.070380012,2.50887918,2,,0.3117,0.2347,0.4536,2
11/6/13,BTC,244.7799988,263,244.7799988,262.5,0,3138994688,0.129180966,2.705864625,2,,0.3163,0.235,0.4488,2
11/7/13,BTC,261.6799927,304.1700134,261.5499878,296.4100037,0,3545560087,0.140683449,3.14410679,2,,0.319,0.2327,0.4482,2
11/8/13,BTC,297.8500061,338.6600037,296.9299927,338.1099854,0,4045494603,0.002957617,3.497497756,1,,0.3224,0.2327,0.445,2
11/9/13,BTC,338.5799866,370.8200073,319.7099915,339.1099854,0,4058705857,-0.036831679,3.092055389,0,,0.324,0.2299,0.4461,2
11/10/13,BTC,348.8200073,350.7000122,277.2399902,326.6199951,0,3910613095,0.048435514,2.60236014,2,,0.3261,0.2294,0.4445,2
11/11/13,BTC,325.4100037,351.269989,311.7799988,342.4400024,0,4101635027,0.052242682,2.61114562,2,,0.3267,0.2267,0.4466,2
11/12/13,BTC,343.0599976,362.8099976,342.7999878,360.3299866,0,4317726291,0.130547027,2.631079365,2,,0.3271,0.2256,0.4473,2
11/13/13,BTC,360.9700012,414.0499878,359.7999878,407.3699951,0,4883103453,0.031494752,2.960018156,2,,0.3263,0.2229,0.4508,2
11/14/13,BTC,406.4100037,425.8999939,395.1900024,420.2000122,0,5038817795,-0.005354593,2.812501397,1,,0.3252,0.2222,0.4526,2
11/15/13,BTC,419.4100037,437.8900146,396.1099854,417.9500122,0,5013561020,0.053283858,2.541581336,2,,0.3235,0.2199,0.4566,2
11/16/13,BTC,417.2799988,450.2600098,415.5700073,440.2200012,0,5282849105,0.117872845,2.555100457,2,,0.3215,0.2203,0.4582,2
11/17/13,BTC,440.9599915,500.5799866,440.2399902,492.1099854,0,5907842064,0.429680394,2.804011988,2,,0.3187,0.2186,0.4627,2
11/18/13,BTC,496.5799866,703.7800293,494.9400024,703.5599976,0,8449069629,-0.169068754,3.976716843,0,,0.3151,0.2191,0.4659,2
11/19/13,BTC,712.7600098,806.1099854,456.3900146,584.6099854,0,7022949161,0.010639626,2.698458795,1,,0.3117,0.2174,0.4709,2
11/20/13,BTC,577.9799805,599.6500244,448.4500122,590.8300171,0,7100077964,0.222737457,2.510374374,2,,0.3079,0.2178,0.4742,2
11/21/13,BTC,594.3200073,733.4000244,577.289978,722.4299927,0,8684240726,0.067840497,3.056949077,2,,0.3061,0.2141,0.4798,2
