Date,technical_indicator+sentiment_score+rnn_score,datadate,daily_return_ti+ss+rnn_score,Date
2019-04-24,2293634.0482184817,20190424,0.17219490092870027,2019-04-24
2019-04-25,1978692.8371308385,20190425,-0.13731101146334357,2019-04-25
2019-04-26,2185408.4535443964,20190426,0.10447079634315637,2019-04-26
2019-04-27,2118935.714455127,20190427,-0.030416620280506845,2019-04-27
2019-04-28,1918115.0209142803,20190428,-0.09477432098145855,2019-04-28
2019-04-29,1882064.8727241291,20190429,-0.018794570605556116,2019-04-29
2019-04-30,1913831.344856781,20190430,0.01687852134803003,2019-04-30
2019-05-01,2107605.008481348,20190501,0.10124908035669566,2019-05-01
2019-05-02,1977830.768303502,20190502,-0.06157427015764971,2019-05-02
2019-05-03,1941618.075334959,20190503,-0.018309298019266174,2019-05-03
2019-05-04,1978455.1436858904,20190504,0.01897235548993148,2019-05-04
2019-05-05,2027710.3129473592,20190505,0.024895772551964734,2019-05-05
2019-05-06,2167339.3536041323,20190506,0.06886044804586344,2019-05-06
2019-05-07,2211668.124281106,20190507,0.020453082533318234,2019-05-07
2019-05-08,2133933.027054124,20190508,-0.03514772237912023,2019-05-08
2019-05-09,1993388.759681904,20190509,-0.06586161120822065,2019-05-09
2019-05-10,2071896.7580596416,20190510,0.03938418835584567,2019-05-10
2019-05-11,1999326.927698457,20190511,-0.03502579463908584,2019-05-11
2019-05-12,1793146.8132081626,20190512,-0.1031247624557533,2019-05-12
2019-05-13,1898517.229193037,20190513,0.05876284931536291,2019-05-13
2019-05-14,1652327.3241417424,20190514,-0.12967483321493867,2019-05-14
2019-05-15,1693696.4327707328,20190515,0.02503687255216125,2019-05-15
2019-05-16,1860655.0704244948,20190516,0.09857648302454813,2019-05-16
2019-05-17,1835846.1572216675,20190517,-0.01333342949865901,2019-05-17
2019-05-18,1877621.680523359,20190518,0.02275545973030435,2019-05-18
2019-05-19,1848400.039688756,20190519,-0.015563114304505632,2019-05-19
2019-05-20,1802687.8467884557,20190520,-0.024730681626688122,2019-05-20
2019-05-21,1727990.8066747778,20190521,-0.0414364806678833,2019-05-21
2019-05-22,1715434.627306867,20190522,-0.007266346163075421,2019-05-22
2019-05-23,1733041.2605129778,20190523,0.010263657341319066,2019-05-23
2019-05-24,1726203.3516202874,20190524,-0.003945612287768907,2019-05-24
2019-05-25,1656178.2856520098,20190525,-0.040565942536578414,2019-05-25
2019-05-26,1670176.2698790182,20190526,0.008451979082371386,2019-05-26
2019-05-27,1664654.683479416,20190527,-0.003305990211441734,2019-05-27
2019-05-28,1678968.7078030747,20190528,0.008598794972744628,2019-05-28
2019-05-29,1761564.177668776,20190529,0.04919416870715665,2019-05-29
2019-05-30,1813259.5838328388,20190530,0.02934630870643362,2019-05-30
2019-05-31,1832924.4729744715,20190531,0.01084504905804251,2019-05-31
2019-06-01,1882885.6025709654,20190601,0.0272576040819712,2019-06-01
2019-06-02,1907441.1706807874,20190602,0.013041455134763735,2019-06-02
2019-06-03,2050397.6405959572,20190603,0.07494672554653259,2019-06-03
2019-06-04,1992872.480918958,20190604,-0.028055611525322988,2019-06-04
2019-06-05,2069748.3993890975,20190605,0.03857543280174669,2019-06-05
2019-06-06,2071557.225790224,20190606,0.0008739354028057811,2019-06-06
2019-06-07,2050118.71814248,20190607,-0.010348981616747799,2019-06-07
2019-06-08,1964368.0822018962,20190608,-0.04182715624306799,2019-06-08
2019-06-09,1996305.03298818,20190609,0.016258129561179224,2019-06-09
2019-06-10,1970989.6346484025,20190610,-0.012681127343492138,2019-06-10
2019-06-11,1889392.5378069996,20190611,-0.04139904919183335,2019-06-11
2019-06-12,1740560.894641737,20190612,-0.078772219211795,2019-06-12
2019-06-13,1784321.0653173008,20190613,0.025141418958841477,2019-06-13
2019-06-14,1793465.1267773542,20190614,0.005124672704812427,2019-06-14
2019-06-15,1769971.4533888497,20190615,-0.013099598669487289,2019-06-15
2019-06-16,1792415.9938402688,20190616,0.012680735843759505,2019-06-16
2019-06-17,1890308.3167357743,20190617,0.0546147340973957,2019-06-17
2019-06-18,1862375.3724356187,20190618,-0.014776925040667854,2019-06-18
2019-06-19,1755117.0302857098,20190619,-0.057592225357681937,2019-06-19
2019-06-20,1755672.618865121,20190620,0.00031655358008841894,2019-06-20
2019-06-21,1802770.8112554904,20190621,0.026826295451833237,2019-06-21
2019-06-22,1760469.265453425,20190622,-0.023464738577948063,2019-06-22
2019-06-23,1755299.2017149332,20190623,-0.0029367531941321134,2019-06-23
2019-06-24,1794689.7876397094,20190624,0.022440952452033036,2019-06-24
2019-06-25,1794689.7876397094,20190625,0.0,2019-06-25
2019-06-26,1686903.4641642259,20190626,-0.06005847039294687,2019-06-26
2019-06-27,1644792.0678411503,20190627,-0.024963726269860764,2019-06-27
2019-06-28,1659210.6312864132,20190628,0.008766192230114322,2019-06-28
2019-06-29,1665759.761983821,20190629,0.003947136411686314,2019-06-29
2019-06-30,1686807.674474623,20190630,0.012635623077925207,2019-06-30
2019-07-01,1787432.5390799246,20190701,0.05965402347166959,2019-07-01
2019-07-02,1834111.2565609098,20190702,0.026114953409661412,2019-07-02
2019-07-03,1828250.1731143259,20190703,-0.003195598645184594,2019-07-03
2019-07-04,1824587.2807151047,20190704,-0.0020034962682277113,2019-07-04
2019-07-05,1786251.9396625462,20190705,-0.021010417784746327,2019-07-05
2019-07-06,1815811.1901533727,20190706,0.016548197840675627,2019-07-06
2019-07-07,1803756.3604715914,20190707,-0.006638812309975428,2019-07-07
2019-07-08,1785801.667323889,20190708,-0.009954056734695627,2019-07-08
2019-07-09,1748608.2726670662,20190709,-0.020827281851830137,2019-07-09
2019-07-10,1758888.7638995138,20190710,0.005879242019579012,2019-07-10
2019-07-11,1798389.3255116257,20190711,0.022457680339339925,2019-07-11
2019-07-12,1790054.8913152413,20190712,-0.0046343881595345415,2019-07-12
2019-07-13,1790906.868546599,20190713,0.00047595033844571866,2019-07-13
2019-07-14,1789446.6882117419,20190714,-0.0008153301327400442,2019-07-14
2019-07-15,1778630.1029633281,20190715,-0.006044653534340916,2019-07-15
2019-07-16,1774380.2832225412,20190716,-0.002389378057700897,2019-07-16
2019-07-17,1767497.0446351857,20190717,-0.0038792352757969217,2019-07-17
2019-07-18,1780518.0357638246,20190718,0.007366909703278468,2019-07-18
2019-07-19,1765608.7696876684,20190719,-0.008373555210722805,2019-07-19
2019-07-20,1737674.086638879,20190720,-0.015821558846091932,2019-07-20
2019-07-21,1745821.4761756547,20190721,0.004688675281182775,2019-07-21
2019-07-22,1686605.8576333334,20190722,-0.03391848442146406,2019-07-22
2019-07-23,1494164.103368895,20190723,-0.11410001536130987,2019-07-23
2019-07-24,1471515.138191727,20190724,-0.015158284907327957,2019-07-24
2019-07-25,1408046.1447467043,20190725,-0.04313172987334446,2019-07-25
2019-07-26,1431466.899619389,20190726,0.016633513724010784,2019-07-26
2019-07-27,1430438.751581873,20190727,-0.0007182478601421849,2019-07-27
