Date,technical_indicator,daily_return_ti,technical_indicator+sentiment_score,daily_return_ti+ss
2019-04-09,1419751.1240230112,-0.0090064873604071,1419751.1240230112,-0.0090064873604071
2019-04-10,1460453.693558811,0.028668805995000657,1460453.693558811,0.028668805995000657
2019-04-11,1474242.209085411,0.009441254856222379,1474242.209085411,0.00944125485622238
2019-04-12,1555877.5217554108,0.055374423664510834,1555877.5217554108,0.05537442366451084
2019-04-13,1581850.0056844112,0.016693141693889357,1581850.0056844112,0.016693141693889357
2019-04-14,1608897.476774611,0.017098631977118032,1608897.476774611,0.01709863197711803
2019-04-15,1666277.0492502109,0.035663908548498664,1666277.0492502109,0.03566390854849866
2019-04-16,1623178.4403638113,-0.025865211854050885,1623178.4403638113,-0.025865211854050885
2019-04-17,1657211.2009380108,0.020966740148773425,1657211.2009380108,0.020966740148773422
2019-04-18,1701534.266952811,0.026745574728020527,1701534.266952811,0.026745574728020527
2019-04-19,1812894.030393211,0.06544667692166327,1812894.030393211,0.06544667692166328
2019-04-20,1912114.387600411,0.05473036787797203,1912114.387600411,0.05473036787797203
2019-04-21,1938396.735175211,0.013745175364630048,1938396.735175211,0.013745175364630047
2019-04-22,1965840.832969713,0.014158142807654484,1965847.262044811,0.01416145950489267
2019-04-23,1965840.832969713,0.0,1965847.262044811,0.0
2019-04-24,2317866.9338241583,0.17907151736321114,2305334.5076656113,0.17269258511349284
2019-04-25,1992787.715619683,-0.14024930139891145,1982035.8695466502,-0.1402393609447743
2019-04-26,2207608.7917624293,0.1077992775943748,2195889.4074968845,0.10789589695929602
2019-04-27,2131572.7854035683,-0.03444269955917245,2124909.3040736886,-0.03232407933699488
2019-04-28,1928237.798379669,-0.09539199806653664,1945176.0826112116,-0.08458394959159354
2019-04-29,1887944.5825172232,-0.020896393534192148,1912405.7302696528,-0.0168469850285059
2019-04-30,1925690.557883688,0.019993158547131573,1940727.322816155,0.014809405817095556
2019-05-01,2128903.5390660013,0.10552732906663986,2084549.7293015118,0.07410747753922409
2019-05-02,1996217.0430130903,-0.062326213291525434,1997101.955213792,-0.04195043795718023
2019-05-03,1955110.6536936304,-0.0205921442577276,1973559.1756052102,-0.011788471563566882
2019-05-04,1995330.5391396682,0.020571667066543675,1994513.9287316487,0.010617747562604807
2019-05-05,2039386.609921564,0.02207958527056464,2018517.395352351,0.012034745044857464
2019-05-06,2186141.1919826963,0.0719601576999549,2080220.1839174929,0.030568370977239523
2019-05-07,2236477.0297575863,0.023024971104102617,2097005.3776392185,0.008068950513745898
2019-05-08,2161611.249008561,-0.03347487130558191,2070945.756396567,-0.012427064575289304
2019-05-09,2019702.874888279,-0.06564935031003805,2032325.1062464255,-0.01864879851674195
2019-05-10,2100641.658237891,0.04007459926702772,2048540.45148433,0.007978716194601887
2019-05-11,2025744.9789198325,-0.03565419119645796,2037640.2879160247,-0.0053209413367489855
2019-05-12,1823715.196814373,-0.09973110347442926,2014501.3183811156,-0.011355767586718746
2019-05-13,1936268.9724153928,0.06171675039919955,2016189.132276255,0.0008378321124633548
2019-05-14,1684460.8165719737,-0.13004812834928706,2008697.931077724,-0.0037155250361227132
2019-05-15,1722960.8649013785,0.022856007068039697,2011574.8009496,0.001432206320007623
2019-05-16,1895268.638240875,0.10000678300337328,2014952.751133281,0.0016792565616183808
2019-05-17,1871176.761431514,-0.012711589440809969,2013770.8641576243,-0.0005865581587419788
2019-05-18,1913092.2126901324,0.022400583484454728,2015604.4786103887,0.000910537780340448
2019-05-19,1883348.0525910119,-0.015547687613706397,2014744.754322585,-0.000426534221831254
2019-05-20,1838036.188881012,-0.024059208624588657,2012678.066836313,-0.0010257812965328572
2019-05-21,1759742.334738012,-0.0425964704158871,2011482.9394781918,-0.000593799563782138
